"Nom","Adresse","longlat","Voir les spectacles du jour"
"3 RAISINS","15 rue Thiers 84000 Avignon","43.9476322 4.81216010000003","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/3-raisins-t4760/"
"LE GRENIER À SEL – AIRES NUMÉRIQUES #3","2 rue du rempart Saint Lazare 84000 Avignon","0 0","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/le-grenier-a-sel-aires-numeriques-3-t4782/"
"ROUGE GORGE","Place de l'amirande 84000 Avignon","0 0","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/rouge-gorge-t4803/"
"ARRACHE-CŒUR (THÉÂTRE DE L')","13, rue du 58° régiment d’infanterie 84000 Avignon","43.94476 4.81526","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/arrache-coeur-theatre-de-l-t4778/"
"PALACE (THÉÂTRE LE)","38, cours Jean Jaurès 84000 Avignon","43.9446236 4.80519249999998","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/palace-theatre-le-t4700/"
"ADRESSE (L')","2, avenue de la Trillade 84000 Avignon","43.9431421 4.81331799999998","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/adresse-l-t4713/"
"VILLENEUVE EN SCÈNE (FESTIVAL)","Plaine de l'Abbaye 30400 Villeneuve lez Avignon","43.969834 4.80479590000004","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/villeneuve-en-scene-festival-t4746/"
"ROTONDE (THÉÂTRE DE LA)","1 A, rue Jean Catelas 84000 Avignon","43.937418 4.831098","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/rotonde-theatre-de-la-t4690/"
"LAURETTE THÉÂTRE AVIGNON","14, rue Plaisance 16/18, rue Joseph Vernet  84000 Avignon","43.949775 4.803019","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/laurette-theatre-avignon-t4721/"
"LE FIGUIER POURPRE (Maison de la Poésie d'Avignon)","6 rue Figuière 84000 Avignon","43.9473436 4.80661280000004","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/le-figuier-pourpre-maison-de-la-poesie-d-avignon-t4655/"
